English dialogs,Marathi dialogs,Page no,Strip,Column no,Photo Name,Font Size
"This is a story of Mr Tad Nices
and his quest to find himself.
Being annoyed of his name, 
he calls himself Mr. X","ही मिस्टर टॅड निसेसची कथा आहे
आणि स्वतःला शोधण्याचा त्याचा शोध.
त्याच्या नावाचा राग येऊन,
तो स्वत:ला मिस्टर एक्स म्हणतो",1,1,1,P1R1S1,175
"Mr X is eager to learn 
the meaning of his name & 
he thinks of ways to solve this.","मिस्टर एक्स शिकण्यास उत्सुक आहेत
त्याच्या नावाचा अर्थ
आणि तो सोडवण्याच्या मार्गांचा विचार करतो",1,1,2,P1R1S2,175
"He has thought of a plan to
recruite 3 agents to work for him, 
while he sits and monitors.","
त्यासाठी त्यांनी योजना आखली आहे
त्याच्यासाठी काम करण्यासाठी ३ एजंट्सची नियुक्ती करा,
जेव्हा तो बसतो आणि निरीक्षण करतो.",1,1,3,P1R1S3,175
"Mr X has scouted for his recruits & 
has assigned tasks for them. 
He checks their IDs & sends missions.","मिस्टर एक्स यांनी त्यांच्या भरतीसाठी शोध घेतला आहे आणि
त्यांच्यासाठी कार्ये नियुक्त केली आहेत.
तो त्यांचे आयडी तपासतो आणि मिशन पाठवतो.",1,1,4,P1R1S4,175
"Mr AA, is engrossed in his studies
and is surprised as he gets a mail.","मिस्टर ए.ए., त्याच्या अभ्यासात मग्न आहेत
आणि त्याला एक मेल आल्याने आश्चर्य वाटते.",1,2,5,P1R2S5,175
"Mr NM is on his laptop while he gets 
a notification with an interesting message.","मिस्टर एन. एम. त्याच्या लॅपटॉपवर असतो तेव्हा तो येतो
मनोरंजक संदेशासह एक सूचना.",1,2,6,P1R2S6,175
"Mr AS is busy on his mobile
when an urgent email pops","मिस्टर ए.एस. त्यांच्या मोबाईलवर वेळ 
घालवत आहेत
जेव्हा त्याचा फोन तातडीच्या मेलवर वाजतो.",1,2,7,P1R2S7,175
**Mission Impossible tone plays**,"
**मिशन इम्पॉसिबल टोन प्ले**",1,2,8,P1R2S8,175
"Mr X seems very happy with his choice
& is eager to know how the game unfolds.","
मिस्टर एक्स त्याच्या निवडीबद्दल खूप आनंदी दिसत आहेत
आणि गेम कसा उलगडतो हे जाणून घेण्यासाठी उत्सुक आहे.",1,3,9,P1R3S9,175
"Mr AA is stressed with this email & is 
out to find his companions.","मिस्टर ए.ए. या ईमेलने तणावग्रस्त आहेत
आणि त्याच्या साथीदारांना शोधण्यासाठी 
बाहेर पडा.",1,3,10,P1R3S10,175
"Mr AS wasn't bothered by the email 
& is confident to ace the challenge.","मिस्टर ए.एस. यांना ईमेलचा त्रास झाला नाही
आणि आव्हान पेलण्याचा आत्मविश्वास आहे.",1,3,11,P1R3S11,175
"Mr NM looks like he is planning 
strategies & is on lookout for a team.","मिस्टर एन.एम. असे दिसते की तो आधीच
योजनाबद्ध आहे
रणनीती आणि संघाच्या शोधात आहे.",1,3,12,P1R3S12,175
"After a followup mail with location, 
Recruits have now met to work.","स्थानासह फॉलोअप मेल केल्यानंतर,
हे भर्ती आता काम करण्यासाठी भेटले
आहेत.",1,4,13,P1R4S13,175
"A map with directions is their hint to
connect dots with upcoming tasks.","दिशानिर्देशांसह नकाशा हा त्यांचा प्रारंभ
करण्याचा इशारा आहे
आणि आगामी कार्यांसह ठिपके कनेक्ट करा.",1,4,14,P1R4S14,175
"The trio is finding ways to decode the map
to find ""Dua Lipa"" steps to solve the tasks.","त्रिकूट नकाशा डीकोड करण्याचे मार्ग शोधत आहेत
कार्ये सोडवण्यासाठी ""डुआ लिपा"" पायऱ्या शोधण्यासाठी.",1,4,15,P1R4S15,175
"After deliberating till night, the boys are off
to take the first step and reach the portal. ","रात्रीपर्यंत विचारपूस करून मुलं निघून जातात
पहिले पाऊल टाकण्यासाठी आणि पोर्टलवर पोहोचण्यासाठी.",1,4,16,P1R4S16,175
"Here they are at the portal entrance. 
Press the Northeastern shield and 
they'll be transported to a new world.","येथे ते पोर्टलच्या प्रवेशद्वारावर आहेत.
ईशान्य ढाल दाबा आणि
त्यांना एका नवीन जगात नेले जाईल.",2,1,1,P2R1S1,175
"A tumble down the hypnotic portal. 
They start working to find clues.","कृत्रिम निद्रा आणणारे पोर्टल खाली कोसळले
त्यांना सुगावा शोधण्याचे काम सुरू करावे लागेल.",2,1,2,P2R1S2,175
"After running around, 
they stumble upon a wall that matches
the description mentioned in the map.","इकडे तिकडे पळून गेल्यावर,
ते जुळणाऱ्या भिंतीवर अडखळतात
नकाशामध्ये नमूद केलेले वर्णन.",2,1,3,P2R1S3,175
"Next step is to find the room.
The room will have the next hint.","पुढील पायरी म्हणजे खोली शोधणे.
खोलीला पुढील सूचना असेल.",2,1,4,P2R1S4,175
"An envolope with the details to the task 
*Dua Lipa Levitating plays*","कार्याच्या तपशीलांसह एक लिफाफा
*दुआ लिपा लेव्हिटिंग नाटके*",2,2,5,P2R2S5,175
"A mention about Mr. K and it says, 
Be at room 320 to join the dots.","मिस्टर के. कडून एक उल्लेख आणि त्यात म्हटले आहे,
बिंदूंमध्ये सामील होण्यासाठी एक खोली ३२० व्हा.",2,2,6,P2R2S6,175
"Entering room with hope of getting 
clues.",सुगावा मिळण्याच्या आशेने खोलीत प्रवेश केला.,2,2,7,P2R2S7,175
"Mr. K explains ways to find 
answers and to solve tasks. 
The first task is to cluster. 
Second is to analysis 
Third is explore & predict.","
मिस्टर  के उत्तरे शोधण्याचे मार्ग
स्पष्ट करतात
पहिले काम म्हणजे क्लस्टर.
दुसरे कार्य म्हणजे विश्लेषण. 
तिसरे म्हणजे एक्सप्लोर.",2,2,8,P2R2S8,175
"A back story. 
Tad Nices was always bothered.
He couldn't decipher his name.","टॅड निसेसला नेहमी त्रास देत असे.
त्याला त्याच्या नावाचा उलगडा करता 
आला नाही.",2,3,9,P2R3S9,175
"He went on a quest to find himself 
& tried ways to intrepret his existance.","तो स्वतःला शोधण्याच्या शोधात निघाला
आणि त्याच्या अस्तित्वाचा अर्थ लावण्याचा
प्रयत्न केला.",2,3,10,P2R3S10,175
"He took all the paths
that became tasks for new recruites.","त्याने सर्व मार्ग काढले
जे नवीन भरतीसाठी कार्य बनले.",2,3,11,P2R3S11,175
"Always in thought.
He couldnt figure out a way out,
he asked this trio to work for him.","नेहमी विचारात.
त्याला मार्ग काढता आला नाही,
त्याने या तिघांना त्याच्यासाठी काम
करण्यास सांगितले.",2,3,12,P2R3S12,175
"Its a deep rabbit hole with no end 
Understanding every aspect is tough.","हे एक खोल सशाचे छिद्र आहे
ज्याला अंत नाही प्रत्येक पैलू
समजून घेणे कठीण आहे.",2,4,13,P2R4S13,175
"Traveling to all locations to check the maps,
he decided to take matters in his hands.","नकाशे तपासण्यासाठी सर्व ठिकाणी प्रवास करणे,
त्याने प्रकरणे आपल्या हातात घेण्याचे ठरवले.",2,4,14,P2R4S14,175
"He worked all night searching for solutions
on the internet but to no fruitation :(","रात्रभर काम करून तो उपाय शोधत होता
इंटरनेटवर पण काहीही फायदा झाला नाही :(",2,4,15,P2R4S15,175
"Tad Nices designed a set of challenges
for the recruits to work & test their abilities","तड निसएस ने आव्हानांचा संच तयार केला
भरती करणार्‍यांना काम करण्यासाठी आणि त्यांच्या 
क्षमतांची चाचणी घेण्यासाठी",2,4,16,P2R4S16,175
"TASK ONE
Overcome this unruly bunch of geese.","एक टास्क
या अनियंत्रित गुसचे अ.व.",3,1,1,P3R1S1,225
"Mr. AA seems pretty confused at first,
surrounded by such chaos.","मिस्टर ए.ए. सुरुवातीला खूप गोंधळलेले दिसतात,
अशा गोंधळाने वेढलेले.",3,1,2,P3R1S2,225
"AA has tried every trick to lure geese
to clear the road but nothing works.","ए .ए . ने गुसचे अमिष दाखविण्यासाठी प्रत्येक युक्ती आजमावली आहे
रस्ता मोकळा करण्यासाठी पण काहीच काम होत नाही.",3,1,3,P3R1S3,225
"Its Eureka moment when AA 
remembers works of Mr.K.","त्याचा युरेका क्षण जेव्हा ए.ए
श्री.के.ची कामे आठवतात.",3,1,4,P3R1S4,225
"Mr. K had mentioned that 
clustering is important
to understand & remove outliers.","असा उल्लेख मिस्टर के
क्लस्टरिंग डेटा महत्वाचे आहे
आउटलायर्स समजून घेण्यासाठी आणि काढून टाकण्यासाठी.",3,2,5,P3R2S5,225
"Mr. AA is working hard to segregate
the rack of geese and it seems to work.","मिस्टर एए वेगळे करण्यासाठी कठोर परिश्रम घेत आहेत
गुसचे अ.व.",3,2,6,P3R2S6,225
"The geese represent unsegregation
and clustering them among different groups 
is a sure way to handle this situation.","गुसचे अव्यवस्थित डेटाचे प्रतिनिधित्व करतात
आणि त्यांना वेगवेगळ्या गटांमध्ये क्लस्टर करणे
ही परिस्थिती हाताळण्याचा एक निश्चित मार्ग आहे.",3,2,7,P3R2S7,225
"The geese are separated well 
Now we have a way to move forward.","रूप चांगले वेगळे आहेत
आता आपल्याकडे पुढे जाण्याचा मार्ग आहे.",3,2,8,P3R2S8,225
"The First task is done 
The trio moves forward.","पहिले कार्य पूर्ण झाले आहे
हे त्रिकूट इतरांना पूर्ण करण्यासाठी
पुढे सरकते.",3,3,9,P3R3S9,225
"As Mr. NM stumbles upon the map again,
he notices the next task.","मिस्टर एन.एम. पुन्हा नकाशावर अडखळत असताना,
त्याला पुढील काम लक्षात येते.",3,3,10,P3R3S10,225
"The second task is to
remove false information
& analyse to move 
forward to the next step","दुसरे काम म्हणजे खोटी माहिती 
काढून टाकणे आणि पुढील पायरीवर 
जाण्यासाठी विश्लेषण करा",3,3,11,P3R3S11,225
"Every interaction is free of traffic 
but all signals are red. 
*Don't start Now plays*","प्रत्येक संवाद वाहतूक मुक्त आहे
पण सर्व सिग्नल लाल आहेत.
*आता नाटक सुरू करू नका*",3,3,12,P3R3S12,225
"At intersection, the walk sign is visible with stop. 
It is now imperative for Mr. NM to find a solution","छेदनबिंदूवर, चालण्याचे चिन्ह स्टॉपसह दृश्यमान आहे.
यावर तोडगा काढणे आता मिस्टर एन.एम. ला अत्यावश्यक आहे",3,4,13,P3R4S13,225
"It all seems confusing as even the 
T line looks like it is about to collide.
The way is to sit and process the information.","हे सर्व अगदी गोंधळात टाकणारे दिसते
टी लाईन टक्कर होणार आहे असे दिसते.
बसून माहितीवर प्रक्रिया करण्याचा मार्ग आहे.",3,4,14,P3R4S14,225
"Even after understanding
clustering, recruits are
unable to analyse","क्लस्टरिंग डेटा समजून घेतल्यानंतरही,
रिक्रूट परिणाम आणि पॅटर्नचे 
विश्लेषण करू शकत नाहीत",3,4,15,P3R4S15,225
"It's evident, green signal is
not the only criteria. There
is a set pattern and rules
to ace this challenge.","हे स्पष्ट आहे की, ग्रीन सिग्नल
हा एकमेव निकष नाही
हे आव्हान पेलण्यासाठी एक
सेट पॅटर्न आणि नियम आहेत.",3,4,16,P3R4S16,225
"Mr NM remembers Mr.K said to 
emphasize analysis. Checking all
set parameters to derive result","मिस्टर एन.एम. ला आठवते मिस्टर के
विश्लेषणावर जोर देण्यासाठी म्हणाले.
निकाल मिळविण्यासाठी सर्व सेट
पॅरामीटर्स तपासत आहे",4,1,1,P4R1S1,175
"With an eye on the signal,
Understanding the rules & checking
patterns. Mr NM is on to the crossing.","सिग्नलवर नजर ठेवून,
नियम समजून घेणे आणि नमुने तपासणे.
मिस्टर एनएम क्रॉसिंगवर आहेत.",4,1,2,P4R1S2,175
"The power of strong analysis is
important aspects of understanding 
data. 
Second task is complete as Mr. NM 
and team cross.","मजबूत अन्वेषण विश्लेषणाची शक्ती आहे
समजून घेण्याचे महत्त्वाचे पैलू.
मिस्टर एनएम आणि टीम क्रॉस
म्हणून दुसरे टास्क पूर्ण झाले.",4,1,3,P4R1S3,175
The recruites are on to the next task,भरती करणारे पुढील कामावर आहेत,4,1,4,P4R1S4,175
"The next challenges comes after the trio 
has crossed the ducks in park and 
analysed the signals to cross city streets","या त्रिकुटानंतर पुढील आव्हाने येतात
पार्क मध्ये बदके ओलांडली आहे आणि
शहरातील रस्ते ओलांडण्यासाठी सिग्नलचे विश्लेषण केले",4,2,5,P4R2S5,175
"Mr. AS tries to navigate through the 
dotted path as per the map and 
stumbles upon a church. 
*Is this the right path to destination? 
Only time will tell*","मिस्टर ए.एस. ठिपके असलेल्या मार्गावरून
नेव्हिगेट करण्याचा प्रयत्न करतात
नकाशानुसार आणि चर्चवर अडखळते.
*हा गंतव्यस्थानासाठी योग्य मार्ग आहे का?
वेळच सांगेल*",4,2,6,P4R2S6,175
"As they move ahead, there is a park 
on the way but the next stage is still 
unclear.","ते पुढे गेल्यावर वाटेत एक उद्यान लागते
पण पुढचा टप्पा अजून अस्पष्ट आहे.",4,2,7,P4R2S7,175
"Time to sit back and recollect all the other ways
to EXPLORE & find an optimal path to the end
goal.","परत बसून इतर सर्व मार्ग आठवण्याची वेळ आली आहे
अंतिम ध्येयासाठी इष्टतम मार्ग शोधण्यासाठी.",4,2,8,P4R2S8,175
"Not an easy task to explore new ways 
to reach destination but this tower 
might seem like an answer.","पोहोचण्याचे नवीन मार्ग एक्सप्लोर
करणे सोपे काम नाही
गंतव्य पण हा टॉवर उत्तरासारखा वाटेल.",4,3,9,P4R3S9,175
"Moving ahead, this mystical tree is a
a roadblock and not the answer the 
recruits desire.","पुढे जाणे, हे गूढ वृक्ष देखील एक
अडथळा आहे आणि भरती
करणार्‍यांची इच्छा असलेले उत्तर नाही.",4,3,10,P4R3S10,175
"It is important to clear the hazzy lines and 
extrapolated new paths based on known 
understanding","अस्पष्ट रेषा साफ करणे महत्वाचे आहे आणि
ज्ञात समजावर आधारित नवीन मार्ग एक्स्ट्रापोलेटेड",4,3,11,P4R3S11,175
"The final goal is reached after a 
number of trials and the right path 
was across the Studio
but we now know this because 
we explored a variety of paths","अनेक चाचण्यांनंतर अंतिम ध्येय गाठले जाते
आणि योग्य वाट स्टुडिओच्या पलीकडे होती
परंतु आता आम्हाला हे माहित आहे कारण
आम्ही विविध मार्गांचा शोध लावला आहे",4,3,12,P4R3S12,175
"The fuzzy name of Mr Tad Nices is 
getting clearer now
The things start taking shape","मिस्टर टॅड निसेसचे अस्पष्ट नाव
आता स्पष्ट होत आहे
गोष्टी आकार घेऊ लागतात",4,4,13,P4R4S13,175
"It wasnt just a trip down the portal
or the meeting with Mr. K 
It was a culmination of all learning,
that have brought us here.","ही केवळ पोर्टलवरची सहल किंवा मिस्टर के.
सोबतची भेट नव्हती
हे सर्व शिक्षणाचा कळस होता,
ज्याने आम्हाला येथे आणले.",4,4,14,P4R4S14,175
"The trio started with clustering ducks
and crossing the path. 
They got the letter *C* and 
moved ahead in the challenge","तिघी बदकांच्या झुंडीने आणि मार्ग
ओलांडून सुरुवात केली.
त्यांना या कार्यातून *सी* हे अक्षर मिळाले
आणि ते आव्हानात पुढे गेले",4,4,15,P4R4S15,175
"It wasnt far when they stumbled upon
confusing street signs and analysed 
every detail to gain the letter *A* for 
their mission","जेव्हा ते गोंधळात टाकणाऱ्या रस्त्यावरील
चिन्हांवर अडखळले तेव्हा ते दूर नव्हते
आणि त्यांच्या ध्येयासाठी *ए* अक्षर
मिळविण्यासाठी प्रत्येक तपशीलाचे विश्लेषण केले",4,4,16,P4R4S16,175
"Exploring the data is a right apporach 
to understand all aspects 
this step gives the letter *E* to the guys.","दिलेल्या सर्व बाबी समजून घेण्यासाठी डेटा
एक्सप्लोर करणे हा एक योग्य मार्ग आहे
कार्य आणि ही पायरी मुले शोधत असलेले
पत्र *ई* देते.",4,5,17,P4R5S17,175
"Gaining A from the street signal analysis,
C from the duck clustering and 
E from exploring streets, 
we now have an ANSWER","स्ट्रीट सिग्नल विश्लेषणातून *ए* मिळवणे,
बदक क्लस्टरिंग पासून सी आणि
रस्त्यांचा शोध घेण्यापासून, आमच्याकडे
आता उत्तर आहे",4,5,18,P4R5S18,175
"Indeed the bois show great courage 
to work as a team, to learn & grow.","खरंच बोईसने एक संघ म्हणून काम करण्याचे
मोठे धाडस दाखवले आहे,
ट्रू डेटा सायन्सचे सर्व पैलू शिकत असताना.",4,5,19,P4R5S19,175
The ACEs are off to new tasks after completing this challenge.,"हे महत्त्वपूर्ण आव्हान पूर्ण केल्यानंतर खरे एसेस
जीवनातील नवीन कार्ये सोडतात.",4,5,20,P4R5S20,175
